"id","name","file","file_size","map_type","analysis_level","modality","target_template_image","description"
"838823","PIP Subject0100 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0100_LookNeu_Beta.nii.gz","1964308","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838824","PIP Subject0100 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0100_RegNeg_Beta.nii.gz","1964382","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838825","PIP Subject0101 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0101_LookNeg_Beta.nii.gz","1843372","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838826","PIP Subject0101 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0101_LookNeu_Beta.nii.gz","1842304","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838827","PIP Subject0101 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0101_RegNeg_Beta.nii.gz","1844176","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838828","PIP Subject0102 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0102_LookNeg_Beta.nii.gz","1921605","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838829","PIP Subject0102 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0102_LookNeu_Beta.nii.gz","1920796","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838830","PIP Subject0102 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0102_RegNeg_Beta.nii.gz","1922447","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838831","PIP Subject0103 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0103_LookNeg_Beta.nii.gz","1956328","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838832","PIP Subject0103 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0103_LookNeu_Beta.nii.gz","1955889","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838833","PIP Subject0103 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0103_RegNeg_Beta.nii.gz","1957151","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838834","PIP Subject0104 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0104_LookNeg_Beta.nii.gz","1976923","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838835","PIP Subject0104 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0104_LookNeu_Beta.nii.gz","1976735","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838836","PIP Subject0104 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0104_RegNeg_Beta.nii.gz","1975587","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838837","PIP Subject0105 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0105_LookNeg_Beta.nii.gz","1908337","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838838","PIP Subject0105 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0105_LookNeu_Beta.nii.gz","1906762","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838839","PIP Subject0105 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0105_RegNeg_Beta.nii.gz","1909494","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838840","PIP Subject0106 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0106_LookNeg_Beta.nii.gz","1982478","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838841","PIP Subject0106 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0106_LookNeu_Beta.nii.gz","1981488","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838842","PIP Subject0106 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0106_RegNeg_Beta.nii.gz","1981423","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838843","PIP Subject0107 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0107_LookNeg_Beta.nii.gz","1965892","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838844","PIP Subject0107 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0107_LookNeu_Beta.nii.gz","1965079","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838845","PIP Subject0107 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0107_RegNeg_Beta.nii.gz","1965917","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838846","PIP Subject0108 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0108_LookNeg_Beta.nii.gz","2058013","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838847","PIP Subject0108 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0108_LookNeu_Beta.nii.gz","2057422","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838848","PIP Subject0108 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0108_RegNeg_Beta.nii.gz","2056359","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838849","PIP Subject0109 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0109_LookNeg_Beta.nii.gz","2062304","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838850","PIP Subject0109 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0109_LookNeu_Beta.nii.gz","2061181","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838851","PIP Subject0109 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0109_RegNeg_Beta.nii.gz","2062043","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838852","PIP Subject0110 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0110_LookNeg_Beta.nii.gz","2034027","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838853","PIP Subject0110 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0110_LookNeu_Beta.nii.gz","2034026","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838854","PIP Subject0110 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0110_RegNeg_Beta.nii.gz","2034314","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838855","PIP Subject0111 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0111_LookNeg_Beta.nii.gz","1957698","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838856","PIP Subject0111 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0111_LookNeu_Beta.nii.gz","1955067","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838857","PIP Subject0111 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0111_RegNeg_Beta.nii.gz","1957200","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838858","PIP Subject0112 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0112_LookNeg_Beta.nii.gz","1972382","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838859","PIP Subject0112 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0112_LookNeu_Beta.nii.gz","1971026","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838860","PIP Subject0112 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0112_RegNeg_Beta.nii.gz","1971883","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838861","PIP Subject0113 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0113_LookNeg_Beta.nii.gz","2066610","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838862","PIP Subject0113 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0113_LookNeu_Beta.nii.gz","2065311","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838863","PIP Subject0113 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0113_RegNeg_Beta.nii.gz","2066238","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838864","PIP Subject0114 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0114_LookNeg_Beta.nii.gz","2033950","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838865","PIP Subject0114 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0114_LookNeu_Beta.nii.gz","2034254","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838866","PIP Subject0114 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0114_RegNeg_Beta.nii.gz","2034508","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838867","PIP Subject0115 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0115_LookNeg_Beta.nii.gz","1869780","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838868","PIP Subject0115 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0115_LookNeu_Beta.nii.gz","1870416","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838869","PIP Subject0115 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0115_RegNeg_Beta.nii.gz","1870784","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838870","PIP Subject0116 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0116_LookNeg_Beta.nii.gz","1832655","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838871","PIP Subject0116 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0116_LookNeu_Beta.nii.gz","1832377","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838872","PIP Subject0116 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0116_RegNeg_Beta.nii.gz","1832362","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838873","PIP Subject0117 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0117_LookNeg_Beta.nii.gz","1836869","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838874","PIP Subject0117 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0117_LookNeu_Beta.nii.gz","1836705","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838875","PIP Subject0117 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0117_RegNeg_Beta.nii.gz","1835823","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838876","PIP Subject0118 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0118_LookNeg_Beta.nii.gz","1979565","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838877","PIP Subject0118 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0118_LookNeu_Beta.nii.gz","1979091","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838878","PIP Subject0118 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0118_RegNeg_Beta.nii.gz","1978225","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838879","PIP Subject0119 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0119_LookNeg_Beta.nii.gz","1960127","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838880","PIP Subject0119 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0119_LookNeu_Beta.nii.gz","1958951","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838881","PIP Subject0119 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0119_RegNeg_Beta.nii.gz","1959254","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838882","PIP Subject0120 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0120_LookNeg_Beta.nii.gz","1892779","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838883","PIP Subject0120 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0120_LookNeu_Beta.nii.gz","1891207","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838884","PIP Subject0120 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0120_RegNeg_Beta.nii.gz","1893009","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838885","PIP Subject0121 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0121_LookNeg_Beta.nii.gz","1957695","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838886","PIP Subject0121 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0121_LookNeu_Beta.nii.gz","1955190","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838887","PIP Subject0121 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0121_RegNeg_Beta.nii.gz","1956986","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838888","PIP Subject0122 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0122_LookNeg_Beta.nii.gz","1784610","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838889","PIP Subject0122 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0122_LookNeu_Beta.nii.gz","1784012","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838890","PIP Subject0122 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0122_RegNeg_Beta.nii.gz","1784976","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838891","PIP Subject0123 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0123_LookNeg_Beta.nii.gz","1809418","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838892","PIP Subject0123 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0123_LookNeu_Beta.nii.gz","1808901","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838893","PIP Subject0123 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0123_RegNeg_Beta.nii.gz","1807367","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838894","PIP Subject0124 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0124_LookNeg_Beta.nii.gz","1941962","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838895","PIP Subject0124 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0124_LookNeu_Beta.nii.gz","1941215","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838896","PIP Subject0124 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0124_RegNeg_Beta.nii.gz","1942013","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838897","PIP Subject0125 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0125_LookNeg_Beta.nii.gz","1986499","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838898","PIP Subject0125 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0125_LookNeu_Beta.nii.gz","1985538","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838899","PIP Subject0125 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0125_RegNeg_Beta.nii.gz","1986243","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838900","PIP Subject0126 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0126_LookNeg_Beta.nii.gz","2045864","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838901","PIP Subject0126 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0126_LookNeu_Beta.nii.gz","2044845","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838902","PIP Subject0126 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0126_RegNeg_Beta.nii.gz","2045501","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838903","PIP Subject0127 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0127_LookNeg_Beta.nii.gz","1950156","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838904","PIP Subject0127 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0127_LookNeu_Beta.nii.gz","1949513","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838905","PIP Subject0127 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0127_RegNeg_Beta.nii.gz","1950554","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838906","PIP Subject0128 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0128_LookNeg_Beta.nii.gz","1954931","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838907","PIP Subject0128 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0128_LookNeu_Beta.nii.gz","1954013","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838908","PIP Subject0128 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0128_RegNeg_Beta.nii.gz","1953982","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838909","PIP Subject0129 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0129_LookNeg_Beta.nii.gz","1914842","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838910","PIP Subject0129 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0129_LookNeu_Beta.nii.gz","1913942","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838911","PIP Subject0129 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0129_RegNeg_Beta.nii.gz","1914279","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838912","PIP Subject0130 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0130_LookNeg_Beta.nii.gz","1982988","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838913","PIP Subject0130 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0130_LookNeu_Beta.nii.gz","1984158","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838914","PIP Subject0130 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0130_RegNeg_Beta.nii.gz","1982772","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838915","PIP Subject0131 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0131_LookNeg_Beta.nii.gz","1922039","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838916","PIP Subject0131 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0131_LookNeu_Beta.nii.gz","1921313","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838917","PIP Subject0131 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0131_RegNeg_Beta.nii.gz","1922234","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838918","PIP Subject0132 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0132_LookNeg_Beta.nii.gz","1923917","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838919","PIP Subject0132 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0132_LookNeu_Beta.nii.gz","1923682","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
