"id","name","file","file_size","map_type","analysis_level","modality","target_template_image","description"
"838547","PIP Subject0008 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0008_LookNeu_Beta.nii.gz","1927339","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838548","PIP Subject0008 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0008_RegNeg_Beta.nii.gz","1928372","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838549","PIP Subject0009 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0009_LookNeg_Beta.nii.gz","1870924","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838550","PIP Subject0009 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0009_LookNeu_Beta.nii.gz","1869065","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838551","PIP Subject0009 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0009_RegNeg_Beta.nii.gz","1870739","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838552","PIP Subject0010 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0010_LookNeg_Beta.nii.gz","1882457","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838553","PIP Subject0010 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0010_LookNeu_Beta.nii.gz","1882680","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838554","PIP Subject0010 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0010_RegNeg_Beta.nii.gz","1882651","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838555","PIP Subject0011 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0011_LookNeg_Beta.nii.gz","1958980","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838556","PIP Subject0011 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0011_LookNeu_Beta.nii.gz","1959444","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838557","PIP Subject0011 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0011_RegNeg_Beta.nii.gz","1958300","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838558","PIP Subject0012 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0012_LookNeg_Beta.nii.gz","1983711","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838559","PIP Subject0012 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0012_LookNeu_Beta.nii.gz","1983511","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838560","PIP Subject0012 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0012_RegNeg_Beta.nii.gz","1984871","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838561","PIP Subject0013 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0013_LookNeg_Beta.nii.gz","1925553","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838562","PIP Subject0013 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0013_LookNeu_Beta.nii.gz","1924038","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838563","PIP Subject0013 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0013_RegNeg_Beta.nii.gz","1925568","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838564","PIP Subject0014 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0014_LookNeg_Beta.nii.gz","1905893","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838565","PIP Subject0014 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0014_LookNeu_Beta.nii.gz","1905261","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838566","PIP Subject0014 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0014_RegNeg_Beta.nii.gz","1904738","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838567","PIP Subject0015 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0015_LookNeg_Beta.nii.gz","1983350","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838568","PIP Subject0015 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0015_LookNeu_Beta.nii.gz","1983119","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838569","PIP Subject0015 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0015_RegNeg_Beta.nii.gz","1983335","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838570","PIP Subject0016 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0016_LookNeg_Beta.nii.gz","1932694","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838571","PIP Subject0016 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0016_LookNeu_Beta.nii.gz","1932970","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
