dataset,subject,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,reg_rating,look_neg_rating,look_neu_rating,reg_success,emotion_reactivity
AHAB,113,47.6520547945205,-1,24,17,1,7,1.61538461538462,2.28571428571429,1,0.67032967032967,1.28571428571429
AHAB,114,35.2876712328767,1,22,6,1,3,3.46153846153846,4.53846153846154,1,1.07692307692308,3.53846153846154
AHAB,115,36.6520547945205,-1,27,17,1,2,3.61538461538462,4,1.4,0.38461538461538,2.6
AHAB,116,45.9260273972603,-1,31,13,1,1,2.46666666666667,4.8,1.66666666666667,2.33333333333333,3.13333333333333
AHAB,117,53.9342465753425,-1,37,18,1,1,2.15384615384615,4.21428571428571,1.14285714285714,2.06043956043956,3.07142857142857
AHAB,118,48.3780821917808,1,40,4,1,2,1.57142857142857,3.14285714285714,1,1.57142857142857,2.14285714285714
AHAB,119,46.3013698630137,-1,27,19,1,3,2.28571428571429,2.88888888888889,1.07692307692308,0.6031746031746,1.81196581196581
AHAB,120,42.1123287671233,-1,28,13,1,5,2.46666666666667,4.18181818181818,1.07692307692308,1.71515151515151,3.1048951048951
AHAB,121,47.3972602739726,-1,24,14,1,8,3,3.53333333333333,1,0.53333333333333,2.53333333333333
AHAB,122,49.6739726027397,1,40,5,1,4,3.14285714285714,3.73333333333333,2,0.59047619047619,1.73333333333333
AHAB,123,50.7753424657534,-1,30,22,1,3,3.26666666666667,3.71428571428571,1.06666666666667,0.44761904761904,2.64761904761904
AHAB,124,37.8712328767123,1,34,22,1,3,2.92307692307692,3.6,1,0.67692307692308,2.6
AHAB,125,47.5671232876712,-1,33,16,1,1,2.2,3.13333333333333,1,0.93333333333333,2.13333333333333
AHAB,126,50.3342465753425,-1,29,12,1,6,2.57142857142857,3.6,1,1.02857142857143,2.6
AHAB,127,46.8054794520548,1,25,7,1,1,3.57142857142857,3.85714285714286,1.46666666666667,0.28571428571429,2.39047619047619
AHAB,128,31.2767123287671,1,29,13,1,1,2.06666666666667,2.5,1.2,0.43333333333333,1.3
AHAB,129,43.027397260274,-1,32,18,1,7,2.42857142857143,2.85714285714286,1.4,0.42857142857143,1.45714285714286
